Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
BG2,NO,16/01/2020 17:00,2.80000,ug m-3,R
BG2,NO,16/01/2020 18:00,2.50000,ug m-3,R
BG2,NO,16/01/2020 19:00,2.00000,ug m-3,R
BG2,NO,16/01/2020 20:00,1.70000,ug m-3,R
BG2,NO,16/01/2020 21:00,1.40000,ug m-3,R
BG2,NO,16/01/2020 22:00,0.90000,ug m-3,R
BG2,NO,16/01/2020 23:00,0.80000,ug m-3,R
BG2,NO,17/01/2020 00:00,0.80000,ug m-3,R
BG2,NO,17/01/2020 01:00,0.90000,ug m-3,R
BG2,NO,17/01/2020 02:00,0.80000,ug m-3,R
BG2,NO,17/01/2020 03:00,0.80000,ug m-3,R
BG2,NO,17/01/2020 04:00,0.90000,ug m-3,R
BG2,NO,17/01/2020 05:00,1.00000,ug m-3,R
BG2,NO,17/01/2020 06:00,1.10000,ug m-3,R
BG2,NO,17/01/2020 07:00,1.10000,ug m-3,R
BG2,NO,17/01/2020 08:00,1.20000,ug m-3,R
BG2,NO,17/01/2020 09:00,1.30000,ug m-3,R
BG2,NO,17/01/2020 10:00,1.70000,ug m-3,R
BG2,NO,17/01/2020 11:00,1.90000,ug m-3,R
BG2,NO,17/01/2020 12:00,2.10000,ug m-3,R
BG2,NO,17/01/2020 13:00,2.30000,ug m-3,R
BG2,NO,17/01/2020 14:00,2.50000,ug m-3,R
BG2,NO,17/01/2020 15:00,2.60000,ug m-3,R
BG2,NO,17/01/2020 16:00,2.60000,ug m-3,R
BG2,NO,17/01/2020 17:00,2.60000,ug m-3,R
BG2,NO,17/01/2020 18:00,2.40000,ug m-3,R
BG2,NO,17/01/2020 19:00,2.30000,ug m-3,R
BG2,NO,17/01/2020 20:00,2.50000,ug m-3,R
BG2,NO,17/01/2020 21:00,2.30000,ug m-3,R
BG2,NO,17/01/2020 22:00,2.20000,ug m-3,R
BG2,NO,17/01/2020 23:00,2.90000,ug m-3,R
BG2,NO,18/01/2020 00:00,3.00000,ug m-3,R
BG2,NO,18/01/2020 01:00,2.90000,ug m-3,R
BG2,NO,18/01/2020 02:00,2.80000,ug m-3,R
BG2,NO,18/01/2020 03:00,2.90000,ug m-3,R
BG2,NO,18/01/2020 04:00,2.60000,ug m-3,R
BG2,NO,18/01/2020 05:00,4.90000,ug m-3,R
BG2,NO,18/01/2020 06:00,5.50000,ug m-3,R
BG2,NO,18/01/2020 07:00,5.90000,ug m-3,R
BG2,NO,18/01/2020 08:00,6.30000,ug m-3,R
BG2,NO,18/01/2020 09:00,7.70000,ug m-3,R
BG2,NO,18/01/2020 10:00,9.00000,ug m-3,R
BG2,NO,18/01/2020 11:00,9.70000,ug m-3,R
BG2,NO,18/01/2020 12:00,10.10000,ug m-3,R
BG2,NO,18/01/2020 13:00,8.20000,ug m-3,R
BG2,NO,18/01/2020 14:00,7.90000,ug m-3,R
BG2,NO,18/01/2020 15:00,7.10000,ug m-3,R
BG2,NO,18/01/2020 16:00,6.90000,ug m-3,R
BG2,NO,18/01/2020 17:00,8.80000,ug m-3,R
BG2,NO,18/01/2020 18:00,9.80000,ug m-3,R
BG2,NO,18/01/2020 19:00,10.60000,ug m-3,R
BG2,NO,18/01/2020 20:00,12.30000,ug m-3,R
BG2,NO,18/01/2020 21:00,12.80000,ug m-3,R
BG2,NO,18/01/2020 22:00,13.50000,ug m-3,R
BG2,NO,18/01/2020 23:00,18.90000,ug m-3,R
BG2,NO,19/01/2020 00:00,,ug m-3,R
BG2,NO,19/01/2020 01:00,19.40000,ug m-3,R
BG2,NO,19/01/2020 02:00,17.30000,ug m-3,R
BG2,NO,19/01/2020 03:00,15.40000,ug m-3,R
BG2,NO,19/01/2020 04:00,12.90000,ug m-3,R
BG2,NO,19/01/2020 05:00,11.90000,ug m-3,R
BG2,NO,19/01/2020 06:00,10.90000,ug m-3,R
BG2,NO,19/01/2020 07:00,5.90000,ug m-3,R
BG2,NO,19/01/2020 08:00,6.40000,ug m-3,R
BG2,NO,19/01/2020 09:00,6.90000,ug m-3,R
BG2,NO,19/01/2020 10:00,8.50000,ug m-3,R
BG2,NO,19/01/2020 11:00,9.10000,ug m-3,R
BG2,NO,19/01/2020 12:00,9.60000,ug m-3,R
